[32m[I 2022-07-05 21:47:26,162][0m A new study created in RDB with name: optimizacion_riesgo[0m
[32m[I 2022-07-05 21:48:47,979][0m Trial 0 finished with value: 0.3235590863352115 and parameters: {'sigma': 8.911291396840701, 'a': 12.825008946921738, 'strategy': 'constant', 'add_indicator': False, 'max_depth': 39, 'n_estimators': 1902, 'boosting_type': 'dart', 'num_leaves': 2, 'learning_rate': 0.007584404438426363, 'min_split_gain': 1.1015641051327707, 'min_child_samples': 2020, 'subsample': 0.6473157744390022, 'subsample_freq': 1598, 'colsample_bytree': 0.253685456511494, 'reg_alpha': 61.614873937883566, 'reg_lambda': 60.78926662174745}. Best is trial 0 with value: 0.3235590863352115.[0m
[32m[I 2022-07-05 22:02:53,300][0m Trial 11 finished with value: 0.24623271199242466 and parameters: {'sigma': 18.98900371348948, 'a': 18.676032567649713, 'strategy': 'median', 'add_indicator': True, 'max_depth': 65, 'n_estimators': 2617, 'boosting_type': 'gbdt', 'num_leaves': 105, 'learning_rate': 2.1487766502146266e-05, 'min_split_gain': 5.384002124929488, 'min_child_samples': 312, 'subsample': 0.8478796201281792, 'subsample_freq': 1919, 'colsample_bytree': 0.03480555101416061, 'reg_alpha': 43.772312093750024, 'reg_lambda': 10.889701026227485}. Best is trial 9 with value: 0.3396623294457971.[0m
[32m[I 2022-07-05 22:04:34,628][0m Trial 12 finished with value: 0.34839299235749477 and parameters: {'sigma': 16.9452151887497, 'a': 7.818956130873195, 'strategy': 'median', 'add_indicator': True, 'max_depth': 64, 'n_estimators': 1034, 'boosting_type': 'rf', 'num_leaves': 106, 'learning_rate': 1.1753777145016427e-07, 'min_split_gain': 2.124246723223169, 'min_child_samples': 1098, 'subsample': 0.6632998133734895, 'subsample_freq': 24, 'colsample_bytree': 0.37695642815865327, 'reg_alpha': 98.71922548856932, 'reg_lambda': 3.0851453148726744}. Best is trial 12 with value: 0.34839299235749477.[0m
[32m[I 2022-07-05 22:05:16,237][0m Trial 13 finished with value: 0.3269624913014525 and parameters: {'sigma': 15.274479384426266, 'a': 8.260511519500112, 'strategy': 'mean', 'add_indicator': False, 'max_depth': 25, 'n_estimators': 911, 'boosting_type': 'rf', 'num_leaves': 213, 'learning_rate': 1.1453017848650162e-07, 'min_split_gain': 1.9014086365965444, 'min_child_samples': 6178, 'subsample': 0.6331175408890956, 'subsample_freq': 16, 'colsample_bytree': 0.7001535696512496, 'reg_alpha': 99.45654973239328, 'reg_lambda': 83.43183625758385}. Best is trial 12 with value: 0.34839299235749477.[0m
[32m[I 2022-07-05 22:05:53,058][0m Trial 14 finished with value: 0.34594329119124334 and parameters: {'sigma': 15.058742649861601, 'a': 8.791563514914797, 'strategy': 'median', 'add_indicator': True, 'max_depth': 78, 'n_estimators': 165, 'boosting_type': 'rf', 'num_leaves': 3789, 'learning_rate': 1.3433665348732744e-07, 'min_split_gain': 2.334628285160422, 'min_child_samples': 774, 'subsample': 0.30415789124737885, 'subsample_freq': 27, 'colsample_bytree': 0.4302072983937709, 'reg_alpha': 61.84529575174013, 'reg_lambda': 28.02804088663386}. Best is trial 12 with value: 0.34839299235749477.[0m
[32m[I 2022-07-05 22:06:28,868][0m Trial 15 finished with value: 0.34554969401389113 and parameters: {'sigma': 15.544471983589586, 'a': 7.990487654215792, 'strategy': 'median', 'add_indicator': True, 'max_depth': 78, 'n_estimators': 83, 'boosting_type': 'rf', 'num_leaves': 5045, 'learning_rate': 1.1226549574717575e-07, 'min_split_gain': 1.8654852454350928, 'min_child_samples': 413, 'subsample': 0.5132827447704931, 'subsample_freq': 24, 'colsample_bytree': 0.43203591888165516, 'reg_alpha': 98.43705893944701, 'reg_lambda': 24.527063056547362}. Best is trial 12 with value: 0.34839299235749477.[0m
[32m[I 2022-07-05 22:07:03,500][0m Trial 16 finished with value: 0.3411928845628192 and parameters: {'sigma': 16.0100859810655, 'a': 8.808474509999463, 'strategy': 'median', 'add_indicator': True, 'max_depth': 100, 'n_estimators': 68, 'boosting_type': 'rf', 'num_leaves': 6124, 'learning_rate': 8.552724812312151e-07, 'min_split_gain': 4.856431712289254, 'min_child_samples': 145, 'subsample': 0.6473585685169638, 'subsample_freq': 26, 'colsample_bytree': 0.7588350301767239, 'reg_alpha': 64.29744715523483, 'reg_lambda': 1.008186018038022}. Best is trial 12 with value: 0.34839299235749477.[0m
[32m[I 2022-07-05 22:07:55,577][0m Trial 17 finished with value: 0.34535326240155284 and parameters: {'sigma': 14.183295587257717, 'a': 10.851740976348612, 'strategy': 'median', 'add_indicator': True, 'max_depth': 78, 'n_estimators': 654, 'boosting_type': 'rf', 'num_leaves': 2938, 'learning_rate': 2.5704841687820545e-06, 'min_split_gain': 2.1590687258669243, 'min_child_samples': 891, 'subsample': 0.4600176464889313, 'subsample_freq': 90, 'colsample_bytree': 0.48169292868073943, 'reg_alpha': 84.30990881365528, 'reg_lambda': 26.271558829914213}. Best is trial 12 with value: 0.34839299235749477.[0m
[32m[I 2022-07-05 22:09:32,497][0m Trial 18 finished with value: 0.3488856633966803 and parameters: {'sigma': 17.727207467629892, 'a': 15.039343961002395, 'strategy': 'median', 'add_indicator': True, 'max_depth': 59, 'n_estimators': 1028, 'boosting_type': 'gbdt', 'num_leaves': 513, 'learning_rate': 2.6954792360924217e-07, 'min_split_gain': 0.1712182600269736, 'min_child_samples': 284, 'subsample': 0.34260596191828935, 'subsample_freq': 194, 'colsample_bytree': 0.3726528094394032, 'reg_alpha': 63.37257775932392, 'reg_lambda': 16.45433787805487}. Best is trial 18 with value: 0.3488856633966803.[0m
[32m[I 2022-07-05 22:11:01,040][0m Trial 19 finished with value: 0.32714550071370957 and parameters: {'sigma': 17.672321952788025, 'a': 15.199859840040435, 'strategy': 'median', 'add_indicator': True, 'max_depth': 57, 'n_estimators': 1051, 'boosting_type': 'gbdt', 'num_leaves': 376, 'learning_rate': 4.793068551825705e-07, 'min_split_gain': 0.014876684718147043, 'min_child_samples': 284, 'subsample': 0.9710398145722204, 'subsample_freq': 215, 'colsample_bytree': 0.1304828444757986, 'reg_alpha': 71.94461411381417, 'reg_lambda': 11.564310034511102}. Best is trial 18 with value: 0.3488856633966803.[0m
[32m[I 2022-07-05 22:12:20,771][0m Trial 20 finished with value: 0.3440438153866404 and parameters: {'sigma': 6.61188146124106, 'a': 15.405673840733684, 'strategy': 'most_frequent', 'add_indicator': True, 'max_depth': 68, 'n_estimators': 1445, 'boosting_type': 'gbdt', 'num_leaves': 14, 'learning_rate': 4.448168078756006e-06, 'min_split_gain': 0.784049494492339, 'min_child_samples': 114, 'subsample': 0.7590595383696729, 'subsample_freq': 550, 'colsample_bytree': 0.3680025853675502, 'reg_alpha': 89.31995737483406, 'reg_lambda': 15.226983092366043}. Best is trial 18 with value: 0.3488856633966803.[0m
[32m[I 2022-07-05 22:13:08,659][0m Trial 21 finished with value: 0.34390147110831426 and parameters: {'sigma': 19.86463372018643, 'a': 7.041203184464067, 'strategy': 'median', 'add_indicator': True, 'max_depth': 74, 'n_estimators': 421, 'boosting_type': 'gbdt', 'num_leaves': 14244, 'learning_rate': 2.630865260674723e-07, 'min_split_gain': 2.6611168952005273, 'min_child_samples': 231, 'subsample': 0.33988652775142086, 'subsample_freq': 48, 'colsample_bytree': 0.5490544921912732, 'reg_alpha': 67.10966742601119, 'reg_lambda': 27.992857521398}. Best is trial 18 with value: 0.3488856633966803.[0m
[32m[I 2022-07-05 22:13:59,458][0m Trial 22 finished with value: 0.35078772687891435 and parameters: {'sigma': 13.74320546382274, 'a': 9.900179112600297, 'strategy': 'median', 'add_indicator': True, 'max_depth': 87, 'n_estimators': 386, 'boosting_type': 'gbdt', 'num_leaves': 623, 'learning_rate': 2.2130167731453803e-07, 'min_split_gain': 1.155218894467512, 'min_child_samples': 471, 'subsample': 0.55200465101949, 'subsample_freq': 46, 'colsample_bytree': 0.35237192437798537, 'reg_alpha': 55.87477069301193, 'reg_lambda': 35.79505500614068}. Best is trial 22 with value: 0.35078772687891435.[0m
[32m[I 2022-07-05 22:15:24,468][0m Trial 23 finished with value: 0.35042248669229614 and parameters: {'sigma': 12.75776365340963, 'a': 12.482756620547665, 'strategy': 'median', 'add_indicator': True, 'max_depth': 91, 'n_estimators': 930, 'boosting_type': 'gbdt', 'num_leaves': 734, 'learning_rate': 3.8365027147636635e-07, 'min_split_gain': 1.1267213322624225, 'min_child_samples': 512, 'subsample': 0.5715248263127586, 'subsample_freq': 151, 'colsample_bytree': 0.3615668501205406, 'reg_alpha': 53.99516156521254, 'reg_lambda': 37.964140674356415}. Best is trial 22 with value: 0.35078772687891435.[0m
[32m[I 2022-07-05 22:16:36,200][0m Trial 24 finished with value: 0.3493967980649826 and parameters: {'sigma': 12.926618196973813, 'a': 12.40676403978986, 'strategy': 'median', 'add_indicator': True, 'max_depth': 90, 'n_estimators': 732, 'boosting_type': 'gbdt', 'num_leaves': 833, 'learning_rate': 1.480045375547623e-06, 'min_split_gain': 1.0201182822741024, 'min_child_samples': 488, 'subsample': 0.4410473813764338, 'subsample_freq': 143, 'colsample_bytree': 0.29933500972590804, 'reg_alpha': 54.324164327996186, 'reg_lambda': 36.55911439259696}. Best is trial 22 with value: 0.35078772687891435.[0m
[32m[I 2022-07-05 22:17:27,822][0m Trial 25 finished with value: 0.33084346843225043 and parameters: {'sigma': 12.69187838498088, 'a': 12.364228223950008, 'strategy': 'median', 'add_indicator': True, 'max_depth': 92, 'n_estimators': 477, 'boosting_type': 'gbdt', 'num_leaves': 1108, 'learning_rate': 1.3497463258606293e-06, 'min_split_gain': 1.1039347959902213, 'min_child_samples': 441, 'subsample': 0.5436485136451369, 'subsample_freq': 108, 'colsample_bytree': 0.1588431191676978, 'reg_alpha': 54.20769113360471, 'reg_lambda': 37.3106421107655}. Best is trial 22 with value: 0.35078772687891435.[0m
[32m[I 2022-07-05 22:18:31,274][0m Trial 26 finished with value: 0.3486131381907025 and parameters: {'sigma': 13.029333294532794, 'a': 10.16918757209388, 'strategy': 'median', 'add_indicator': True, 'max_depth': 88, 'n_estimators': 697, 'boosting_type': 'gbdt', 'num_leaves': 281, 'learning_rate': 4.516930972847464e-06, 'min_split_gain': 4.633664585707461, 'min_child_samples': 479, 'subsample': 0.43104450550646634, 'subsample_freq': 144, 'colsample_bytree': 0.32983103788515067, 'reg_alpha': 53.955271532478086, 'reg_lambda': 35.69413101900909}. Best is trial 22 with value: 0.35078772687891435.[0m
[32m[I 2022-07-05 22:19:32,710][0m Trial 27 finished with value: 0.3520222444267047 and parameters: {'sigma': 7.693950353985771, 'a': 11.390045103548657, 'strategy': 'median', 'add_indicator': True, 'max_depth': 98, 'n_estimators': 294, 'boosting_type': 'gbdt', 'num_leaves': 1735, 'learning_rate': 6.0650688609787e-07, 'min_split_gain': 1.1922717090213266, 'min_child_samples': 168, 'subsample': 0.5725669781714077, 'subsample_freq': 126, 'colsample_bytree': 0.47086168738631423, 'reg_alpha': 22.084379215522937, 'reg_lambda': 69.53908848311744}. Best is trial 27 with value: 0.3520222444267047.[0m
[32m[I 2022-07-05 22:20:42,871][0m Trial 28 finished with value: 0.3465930113044989 and parameters: {'sigma': 7.0360498735204775, 'a': 13.746676451069478, 'strategy': 'most_frequent', 'add_indicator': True, 'max_depth': 100, 'n_estimators': 290, 'boosting_type': 'gbdt', 'num_leaves': 12688, 'learning_rate': 3.495197735812057e-07, 'min_split_gain': 1.448699522537175, 'min_child_samples': 164, 'subsample': 0.7112120314482567, 'subsample_freq': 118, 'colsample_bytree': 0.6349053759642183, 'reg_alpha': 22.109660410422567, 'reg_lambda': 69.6322062304171}. Best is trial 27 with value: 0.3520222444267047.[0m
